Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,diferencia_ha,ratio_cosechada_sembrada
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"0,00","160,00","176,00","1,10",1010402,0.0,160.0,160.0,inf
05,Antioquia,05031,Amalfi,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"20,00","95,00","1.140,00","12,00",1081001,20.0,95.0,75.0,4.75
05,Antioquia,05031,Amalfi,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"25,00","98,00","1.176,00","12,00",1081001,25.0,98.0,73.0,3.92
05,Antioquia,05031,Amalfi,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"30,00","75,00","900,00","12,00",1081001,30.0,75.0,45.0,2.5
05,Antioquia,05031,Amalfi,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"50,00","193,00","121,47","0,63",1060200,50.0,193.0,143.0,3.86
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"0,00","158,00","173,80","1,10",1010402,0.0,158.0,158.0,inf
05,Antioquia,05031,Amalfi,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2025,2025B,Transitorio,"30,00","70,00","840,00","12,00",1081001,30.0,70.0,40.0,2.3333333333333335
05,Antioquia,05034,Andes,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2025,2025A,Transitorio,"5,00","5,70","39,90","7,00",1051200,5.0,5.7,0.7000000000000002,1.1400000000000001
05,Antioquia,05034,Andes,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"50,00","58,50","87,75","1,50",1060200,50.0,58.5,8.5,1.17
05,Antioquia,05034,Andes,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024A,Transitorio,"30,00","68,00","79,56","1,17",1060200,30.0,68.0,38.0,2.2666666666666666
05,Antioquia,05034,Andes,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"22,00","29,60","44,40","1,50",1060200,22.0,29.6,7.600000000000001,1.3454545454545455
05,Antioquia,05034,Andes,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"20,00","23,00","19,30","0,84",1060200,20.0,23.0,3.0,1.15
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"40,00","80,00","76,80","0,96",1010402,40.0,80.0,40.0,2.0
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"40,00","104,00","99,84","0,96",1010402,40.0,104.0,64.0,2.6
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"40,00","104,00","99,84","0,96",1010402,40.0,104.0,64.0,2.6
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022B,Transitorio,"25,00","32,00","28,16","0,88",1010404,25.0,32.0,7.0,1.28
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz blanco tradicional,2023,2023B,Transitorio,"30,00","48,00","45,60","0,95",1010404,30.0,48.0,18.0,1.6
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz blanco tradicional,2024,2024B,Transitorio,"20,00","42,00","39,90","0,95",1010404,20.0,42.0,22.0,2.1
05,Antioquia,05034,Andes,Cereales,Cereales,Maíz,Maíz blanco tradicional,2025,2025B,Transitorio,"20,00","44,00","42,24","0,96",1010404,20.0,44.0,24.0,2.2
05,Antioquia,05034,Andes,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2024,2024B,Transitorio,"7,00","8,70","435,00","50,00",1052901,7.0,8.7,1.6999999999999993,1.2428571428571427
05,Antioquia,05034,Andes,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2025,2025B,Transitorio,"7,00","9,00","432,00","48,00",1052901,7.0,9.0,2.0,1.2857142857142858
05,Antioquia,05034,Andes,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"45,00","50,00","600,00","12,00",1081001,45.0,50.0,5.0,1.1111111111111112
05,Antioquia,05036,Angelópolis,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"4,00","28,00","23,49","0,84",1010402,4.0,28.0,24.0,7.0
05,Antioquia,05036,Angelópolis,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"4,00","27,00","22,65","0,84",1010402,4.0,27.0,23.0,6.75
05,Antioquia,05036,Angelópolis,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024A,Transitorio,"17,00","21,00","17,62","0,84",1010402,17.0,21.0,4.0,1.2352941176470589
05,Antioquia,05036,Angelópolis,Cereales,Cereales,Maíz,Maíz blanco tradicional,2023,2023B,Transitorio,"5,00","5,80","4,87","0,84",1010404,5.0,5.8,0.7999999999999998,1.16
05,Antioquia,05036,Angelópolis,Cereales,Cereales,Maíz,Maíz blanco tradicional,2024,2024A,Transitorio,"4,00","8,00","6,71","0,84",1010404,4.0,8.0,4.0,2.0
05,Antioquia,05036,Angelópolis,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023A,Transitorio,"21,00","27,00","270,00","10,00",1081001,21.0,27.0,6.0,1.2857142857142858
05,Antioquia,05036,Angelópolis,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"15,00","15,70","157,00","10,00",1081001,15.0,15.7,0.6999999999999993,1.0466666666666666
05,Antioquia,05036,Angelópolis,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024A,Transitorio,"15,00","21,00","210,00","10,00",1081001,15.0,21.0,6.0,1.4
05,Antioquia,05038,Angostura,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,Transitorio,"30,00","121,00","302,50","2,50",1060200,30.0,121.0,91.0,4.033333333333333
05,Antioquia,05038,Angostura,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"25,00","55,00","110,00","2,00",1060200,25.0,55.0,30.0,2.2
05,Antioquia,05038,Angostura,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"15,00","53,00","106,00","2,00",1060200,15.0,53.0,38.0,3.533333333333333
05,Antioquia,05038,Angostura,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"10,00","106,00","148,25","1,40",1060200,10.0,106.0,96.0,10.6
05,Antioquia,05038,Angostura,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"10,00","33,00","115,50","3,50",1010402,10.0,33.0,23.0,3.3
05,Antioquia,05038,Angostura,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"20,00","67,00","201,00","3,00",1010402,20.0,67.0,47.0,3.35
05,Antioquia,05038,Angostura,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"20,00","67,00","134,00","2,00",1010402,20.0,67.0,47.0,3.35
05,Antioquia,05038,Angostura,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"10,00","57,00","114,00","2,00",1010402,10.0,57.0,47.0,5.7
05,Antioquia,05038,Angostura,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022A,Transitorio,"33,50","39,00","136,50","3,50",1010404,33.5,39.0,5.5,1.164179104477612
05,Antioquia,05038,Angostura,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022B,Transitorio,"20,00","33,00","115,50","3,50",1010404,20.0,33.0,13.0,1.65
05,Antioquia,05038,Angostura,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2022,2022B,Transitorio,"3,00","6,00","648,00","108,00",1052902,3.0,6.0,3.0,2.0
05,Antioquia,05038,Angostura,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2023,2023A,Transitorio,"1,00","4,00","380,00","95,00",1052902,1.0,4.0,3.0,4.0
05,Antioquia,05038,Angostura,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"0,00","0,50","2,50","5,00",1081001,0.0,0.5,0.5,inf
05,Antioquia,05040,Anorí,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"6,00","49,00","41,65","0,85",1060200,6.0,49.0,43.0,8.166666666666666
05,Antioquia,05040,Anorí,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"20,00","70,00","44,06","0,63",1060200,20.0,70.0,50.0,3.5
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"10,00","50,00","35,00","0,70",1010402,10.0,50.0,40.0,5.0
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"20,00","75,00","56,25","0,75",1010402,20.0,75.0,55.0,3.75
