metrica,valor_original,cantidad
Producción,"4.125,00",7
Producción,"4.690,00",7
Producción,"4.700,00",7
Producción,"4.770,00",7
Producción,"5.610,00",7
Producción,"5.655,00",7
Producción,"54.000,00",7
Producción,"6.030,00",7
Producción,"6.360,00",7
Producción,"6.375,00",7
Producción,"6.440,00",7
Producción,"6.930,00",7
Producción,"6.975,00",7
Producción,"7.040,00",7
Producción,"7.050,00",7
Producción,"7.475,00",7
Producción,"7.505,00",7
Producción,"8.250,00",7
Producción,"9.180,00",7
Producción,"9.630,00",7
Producción,"9.750,00",7
Producción,"1.001,00",6
Producción,"1.016,00",6
Producción,"1.053,00",6
Producción,"1.068,00",6
Producción,"1.072,50",6
Producción,"1.083,00",6
Producción,"1.156,00",6
Producción,"1.242,00",6
Producción,"1.243,50",6
Producción,"1.278,00",6
Producción,"1.312,00",6
Producción,"1.328,00",6
Producción,"1.357,00",6
Producción,"1.376,00",6
Producción,"1.378,00",6
Producción,"1.416,00",6
Producción,"1.432,00",6
Producción,"1.442,00",6
Producción,"1.452,00",6
Producción,"1.460,00",6
Producción,"1.462,00",6
Producción,"1.472,00",6
Producción,"1.499,40",6
Producción,"1.570,00",6
Producción,"1.608,00",6
Producción,"1.628,00",6
Producción,"1.635,00",6
Producción,"1.695,00",6
Producción,"1.792,00",6
Producción,"1.795,50",6
Producción,"1.836,00",6
Producción,"1.859,00",6
Producción,"1.863,00",6
Producción,"1.935,00",6
Producción,"10.120,00",6
Producción,"10.320,00",6
Producción,"10.350,00",6
Producción,"10.890,00",6
Producción,"11.280,00",6
Producción,"11.484,00",6
Producción,"11.520,00",6
Producción,"12.240,00",6
Producción,"12.400,00",6
Producción,"13.440,00",6
Producción,"14.880,00",6
Producción,"15.480,00",6
Producción,"18.400,00",6
Producción,"18.600,00",6
Producción,"19.000,00",6
Producción,"2.024,00",6
Producción,"2.060,00",6
Producción,"2.075,00",6
Producción,"2.115,00",6
Producción,"2.125,00",6
Producción,"2.136,00",6
Producción,"2.178,00",6
Producción,"2.304,00",6
Producción,"2.322,00",6
Producción,"2.373,00",6
Producción,"2.432,00",6
Producción,"2.470,00",6
Producción,"2.590,00",6
Producción,"2.592,00",6
Producción,"2.680,00",6
Producción,"2.722,50",6
Producción,"2.740,50",6
Producción,"2.808,00",6
Producción,"2.825,00",6
Producción,"25.200,00",6
Producción,"25.500,00",6
Producción,"26.000,00",6
Producción,"28.700,00",6
Producción,"3.024,00",6
Producción,"3.030,00",6
Producción,"3.186,00",6
Producción,"3.252,00",6
Producción,"3.264,00",6
Producción,"3.276,00",6
Producción,"3.384,00",6
Producción,"3.864,00",6
Producción,"3.950,00",6
Producción,"34.000,00",6
Producción,"358.258,00",6
Producción,"38.000,00",6
Producción,"39.000,00",6
Producción,"4.112,00",6
Producción,"4.165,00",6
Producción,"4.275,00",6
Producción,"4.280,00",6
Producción,"4.290,00",6
Producción,"4.350,00",6
Producción,"4.450,00",6
Producción,"4.540,00",6
Producción,"4.608,00",6
Producción,"4.650,00",6
Producción,"4.675,00",6
Producción,"4.704,00",6
Producción,"4.725,00",6
Producción,"4.780,00",6
Producción,"4.788,00",6
Producción,"4.896,00",6
Producción,"4.960,00",6
Producción,"40.000,00",6
Producción,"45.000,00",6
Producción,"46.800,00",6
Producción,"465.000,00",6
Producción,"49.500,00",6
Producción,"5.180,00",6
Producción,"5.680,00",6
Producción,"5.775,00",6
Producción,"6.048,00",6
Producción,"6.050,00",6
Producción,"6.100,00",6
Producción,"6.200,00",6
Producción,"6.270,00",6
Producción,"6.660,00",6
Producción,"6.880,00",6
Producción,"7.070,00",6
Producción,"7.150,00",6
Producción,"7.420,00",6
Producción,"7.680,00",6
Producción,"8.320,00",6
Producción,"8.600,00",6
Producción,"9.240,00",6
Producción,"9.300,00",6
Producción,"9.360,00",6
Producción,"9.400,00",6
Producción,"9.450,00",6
Producción,"1.012,00",5
Producción,"1.023,00",5
Producción,"1.024,00",5
Producción,"1.062,00",5
Producción,"1.075,20",5
Producción,"1.086,00",5
Producción,"1.093,00",5
Producción,"1.107,00",5
Producción,"1.130,00",5
Producción,"1.131,00",5
Producción,"1.147,50",5
Producción,"1.168,00",5
Producción,"1.182,00",5
Producción,"1.192,00",5
Producción,"1.195,00",5
Producción,"1.212,00",5
Producción,"1.255,50",5
Producción,"1.256,00",5
Producción,"1.256,40",5
Producción,"1.270,00",5
